x,y,labels
93.8,2.8144,1
204.4,-45.768,1
208.6,-38.278,1
238.7,-39.383,1
256.9,-41.117,1
286.3,-66.815,3
291.2,11.695,1
291.2,-63.004,3
315.0,-51.537,3
322.7,-50.749,3
332.5,-50.486,3
334.6,-49.815,3
349.3,-37.49,1
360.5,-45.616,1
364.7,-52.363,3
369.6,-52.314,3
381.5,-52.647,3
382.9,-58.552,1
386.4,-37.066,1
390.6,-51.437,3
418.6,-48.791,1
421.4,-7.1191,1
452.2,-37.478,1
452.2,-68.373,1
466.9,-45.717,1
494.2,-37.695,1
494.9,-40.691,1
539.0,-36.522,1
557.9,-48.31,1
576.1,-46.789,1
579.6,-43.673,1
584.5,-46.165,1
658.0,-55.292,1
672.0,-40.836,1
679.0,-47.451,1
684.6,-43.76,1
697.9,-51.916,1
732.2,-36.935,1
735.7,-41.577,1
744.1,-41.534,1
749.0,-43.575,1
807.1,-44.775,1
826.7,-54.818,1
835.1,-42.333,1
840.7,-79.832,1
887.6,-21.765,1
889.7,-79.601,1
889.7,-71.733,1
924.0,-54.894,1
940.8,-49.576,1
975.1,-45.44,1
978.6,-61.313,1
984.2,-36.058,1
1001.0,-41.85,1
1002.4,-56.238,1
1016.4,-50.332,1
1022.7,-70.955,1
1047.9,-35.753,1
1054.9,-11.606,1
1082.2,-44.28,1
1086.4,-45.04,1
1088.5,-37.938,1
1124.2,-43.577,1
1134.0,-45.402,1
1139.6,-41.286,1
1155.0,-51.642,1
1156.4,-52.786,1
1161.3,-47.934,1
1163.4,-41.411,1
1172.5,-51.574,1
1212.4,-37.428,1
1238.3,-41.484,3
1239.7,-41.375,3
1247.4,-43.42,1
1254.4,-37.255,3
1256.5,-37.47,3
1257.2,-36.987,3
1261.4,-37.828,3
1264.2,-37.391,3
1264.2,-36.774,1
1271.9,-37.021,3
1302.0,-40.123,1
1314.6,-39.023,1
1315.3,-38.199,1
1320.2,-35.752,1
1347.5,-32.37,1
1348.2,-31.73,1
1349.6,-31.756,1
1349.6,-32.54,1
1353.8,-31.353,1
1355.2,-32.579,1
1360.1,-31.169,1
1360.8,-31.471,1
1360.8,-71.9,1
1364.3,-30.568,1
1369.2,-30.587,1
1372.0,-30.934,1
1372.7,-30.66,1
1383.9,-30.98,1
1384.6,-31.783,1
1397.9,-29.24,1
1411.9,-30.187,1
1413.3,-29.023,1
1415.4,-29.027,1
1428.7,-30.279,1
1430.8,-50.625,1
1436.4,-29.567,1
1454.6,-5.2825,1
1471.4,-29.175,1
1479.8,-28.733,1
1481.2,-29.298,1
1523.2,-28.911,1
1526.0,-28.044,1
1543.5,-30.176,1
1558.2,-29.805,1
1566.6,-28.853,1
1568.7,-27.28,1
1573.6,-29.205,1
1582.7,-28.393,1
1583.4,-31.019,1
1586.9,-30.269,1
1586.9,-54.765,1
1589.0,-28.119,1
1593.9,-5.9237,1
1593.9,-19.321,1
1594.6,-29.351,1
1598.1,-28.47,1
1602.3,-29.882,1
1607.2,-29.583,1
1653.4,-31.094,1
1685.6,-33.359,1
1695.4,-35.294,1
1698.9,-35.281,2
1707.3,-37.518,1
1733.2,-35.743,1
1773.8,-65.303,1
1819.3,-35.811,1
1826.3,-37.602,1
1826.3,-49.372,1
1834.7,-35.797,1
1842.4,-74.475,1
1873.2,-33.957,1
1883.7,-33.637,1
1889.3,-32.75,1
1892.1,-33.038,1
1897.0,-32.989,1
1899.1,-33.394,1
1899.8,-31.568,1
1905.4,-32.977,1
1906.8,-32.411,1
1908.9,-31.116,1
1909.6,-32.704,1
1923.6,-31.195,1
1928.5,-32.669,1
1939.0,-33.601,1
1939.7,-32.16,1
1949.5,-77.512,1
1958.6,-35.579,1
1960.0,-51.391,1
1981.0,-4.7317,1
1982.4,-37.334,1
2014.6,-35.651,1
2020.2,-37.537,1
2024.4,-39.421,1
2046.1,-39.256,1
2062.9,-32.095,1
2069.2,-35.149,1
2095.1,-31.394,1
2135.7,-30.936,1
2136.4,-30.8,1
2164.4,-31.11,1
2177.0,-29.951,1
2188.9,-29.655,1
2191.0,-30.703,1
2192.4,-30.034,1
2200.8,-31.634,1
2217.6,-30.18,1
2244.9,16.141,1
2247.0,-34.073,1
2249.1,-28.811,1
2272.9,-29.079,1
2283.4,-30.5,1
2340.1,-24.022,1
2341.5,-25.287,1
2352.0,-24.795,1
2354.8,-22.055,1
2355.5,-22.314,1
2355.5,-24.122,1
2356.2,-22.379,1
2357.6,-23.094,1
2361.1,-22.233,1
2368.8,-26.808,1
2413.6,-21.944,1
2415.0,-21.348,1
2430.4,-20.655,1
2449.3,-21.572,1
2499.7,-21.426,1
2501.8,-19.891,1
2510.9,-21.662,1
2513.7,-22.473,1
2514.4,-22.973,1
2517.2,-23.87,1
2520.7,-23.515,1
2522.8,-25.28,1
2523.5,-28.45,1
2537.5,-25.398,1
2548.7,-29.397,1
2551.5,-30.263,1
2559.2,-30.684,1
2560.6,-29.628,1
2561.3,-30.48,1
2563.4,-29.708,1
2567.6,-29.433,1
2569.0,-30.762,1
2570.4,-31.184,1
2571.8,-31.467,1
2592.8,-19.653,1
2603.3,-64.4,1
2627.8,-32.786,1
2644.6,-32.678,1
2646.7,-32.668,1
2659.3,-29.93,1
2665.6,-31.702,1
2679.6,-67.403,1
2690.1,-31.755,1
2695.7,-31.797,1
2696.4,-31.682,1
2702.7,-31.461,1
2729.3,-32.892,1
2752.4,-25.702,1
2754.5,-24.435,1
2758.0,-25.456,1
2778.3,-24.869,1
2780.4,-24.965,1
2791.6,-25.05,1
2803.5,-23.161,1
2818.9,-23.401,1
2835.0,-23.654,1
2836.4,-24.297,1
2852.5,-23.399,1
2858.8,-22.791,1
2867.2,-23.086,1
2869.3,-24.628,1
2877.0,-23.206,1
2893.8,-22.933,1
2910.6,-22.74,1
2915.5,-26.11,1
2930.9,-23.195,1
2937.9,-23.802,1
2943.5,-25.371,1
2945.6,-25.172,1
2947.0,-25.326,1
2950.5,-25.234,1
2953.3,-24.842,1
2954.0,-24.81,1
2958.2,-24.55,1
2962.4,-24.669,1
2963.1,-20.548,1
2963.8,-24.381,1
2964.5,-21.131,1
2966.6,-21.713,1
2971.5,-24.262,1
2973.6,-20.306,1
2975.7,-20.481,1
2988.3,-20.716,1
2993.2,-18.958,1
2996.0,-19.101,1
3000.2,-18.634,1
3032.4,-19.967,1
3033.8,-19.613,1
3052.0,-20.727,1
3070.2,-20.653,1
3070.9,-21.295,1
3072.3,-18.887,1
3133.9,-38.637,1
3142.3,-21.914,1
3152.8,-21.416,1
3162.6,-22.152,1
3170.3,-21.402,1
3181.5,-23.667,1
3185.7,-23.118,1
3193.4,-22.234,1
3201.8,-22.204,1
3208.1,-22.745,1
3214.4,-22.534,1
3223.5,-23.322,1
3233.3,-23.933,1
3242.4,-22.813,1
3249.4,-28.386,1
3252.2,-23.401,1
3255.7,-24.416,1
3271.1,-24.681,1
3272.5,-27.737,1
3292.1,-27.962,1
3324.3,-55.33,1
3325.0,-25.782,1
3327.1,-24.586,1
3332.7,-25.712,1
3335.5,-25.443,1
3339.7,-25.309,1
3341.8,-24.956,1
3343.9,-24.656,1
3350.9,-30.299,1
3377.5,-25.683,1
3396.4,-25.833,1
3397.8,-25.031,1
3398.5,-26.885,1
3406.9,-25.739,1
3409.0,-27.947,1
3423.0,-25.458,1
3423.7,-25.7,1
3424.4,-26.751,1
3424.4,-25.56,1
3425.8,-25.574,1
3433.5,-26.992,1
3434.2,-27.415,1
3458.7,-28.357,1
3479.7,-27.608,1
3481.8,-28.301,1
3484.6,-28.104,1
3495.8,-28.872,1
3510.5,-60.563,1
3584.7,-31.853,1
3585.4,-31.077,1
3586.1,-34.743,1
3586.8,-32.288,1
3590.3,-31.384,1
