x,y,labels
4.2001,-20.003,1
4.2001,-69.931,1
5.6001,-7.7538,1
6.3001,-43.668,1
7.0001,29.065,1
7.0001,-67.798,1
9.0999,-20.707,1
9.7999,-74.743,1
11.2,-23.33,1
12.6,-26.326,1
13.3,-47.464,1
14.0,-51.004,1
14.7,-48.427,1
15.4,-35.854,1
16.1,-29.723,1
18.2,6.0914,1
18.2,-43.649,1
20.3,-69.231,1
22.4,-32.97,1
23.1,-68.562,1
24.5,-1.4277,1
25.2,-23.906,1
25.9,-53.293,1
27.3,-65.365,1
28.0,-64.095,1
28.7,-16.141,1
29.4,-61.811,1
29.4,-63.206,1
30.8,3.6865,1
32.2,-48.606,1
32.9,-74.157,1
35.0,30.827,1
35.0,-17.045,1
35.0,-44.957,1
35.7,-77.291,1
36.4,2.099,1
37.1,27.832,1
37.1,-61.642,1
37.8,-25.495,1
38.5,-2.9856,1
38.5,-34.715,1
39.2,-7.49,1
42.0,40.416,1
43.4,-54.175,1
43.4,-68.54,1
45.5,-41.262,1
46.2,-79.385,1
47.6,-62.637,1
49.0,-20.001,1
49.0,-29.126,1
49.7,17.789,1
49.7,-46.007,1
52.5,-68.268,1
53.2,13.202,1
55.3,33.644,1
55.3,-21.4,1
57.4,-51.922,1
59.5,-16.891,1
60.2,15.023,1
60.9,-11.474,1
62.3,-59.114,1
63.0,-67.221,1
63.0,-78.547,1
63.7,-15.37,1
63.7,-27.165,1
64.4,29.054,1
65.1,-68.172,1
65.1,-61.908,1
69.3,24.28,1
69.3,38.646,1
70.7,-4.3207,1
71.4,24.906,1
71.4,-77.035,1
72.1,20.967,1
72.1,-21.68,1
72.8,-34.182,1
74.2,-15.187,1
74.2,-57.833,1
74.9,13.868,1
74.9,-31.263,1
74.9,-59.416,1
74.9,-69.963,1
75.6,-49.739,1
77.0,-53.37,1
80.5,16.343,1
81.2,-12.671,1
81.9,29.965,1
81.9,-28.657,1
84.0,4.1224,1
84.0,-51.643,1
84.0,-52.635,1
84.7,29.039,1
84.7,-40.96,1
86.1,-30.538,1
86.8,6.4717,1
88.2,-64.682,1
88.9,24.158,1
89.6,-3.9994,1
89.6,-53.902,1
91.0,-7.762,1
92.4,-47.574,1
93.1,-16.708,1
93.1,-73.433,1
95.9,9.8731,1
95.9,-48.802,1
95.9,-64.166,1
96.6,-36.987,1
97.3,-15.283,1
98.0,25.178,1
100.1,37.904,1
100.1,-41.299,1
100.1,-64.065,1
100.8,28.543,1
100.8,-20.882,1
100.8,-43.607,1
101.5,27.936,1
101.5,-48.569,1
101.5,-50.802,1
102.9,-60.885,1
104.3,-20.376,1
105.0,-41.763,1
105.7,-15.172,1
106.4,38.37,1
106.4,-22.783,1
107.1,40.013,1
107.1,3.0719,1
108.5,34.135,1
109.2,-0.64194,1
111.3,-2.7299,1
111.3,-48.124,1
111.3,-59.295,1
112.0,-65.287,1
112.7,-49.191,1
113.4,-18.949,1
114.1,-54.209,1
116.2,27.5,1
116.9,-27.94,1
117.6,-38.685,1
118.3,-69.911,1
119.7,6.4192,1
119.7,-38.111,1
120.4,-69.519,1
121.1,1.8564,1
122.5,-24.969,1
122.5,-20.226,1
123.2,-63.623,1
124.6,-29.207,1
126.0,-1.4496,1
126.0,-20.773,1
126.0,-8.9711,1
127.4,-44.18,1
129.5,-46.701,1
130.2,-47.336,1
130.9,-26.327,1
131.6,4.883,1
132.3,2.7809,1
132.3,1.2771,1
132.3,-10.427,1
133.7,-57.507,1
133.7,-66.999,1
134.4,-28.653,1
134.4,-53.334,1
137.9,-42.818,1
139.3,29.675,1
139.3,-3.4301,1
139.3,-20.954,1
140.0,-61.041,1
140.7,17.628,1
140.7,-23.132,1
141.4,24.71,1
142.8,24.679,1
144.2,-20.068,1
144.9,-50.301,1
144.9,-40.128,1
146.3,-3.5703,1
147.7,-43.017,1
150.5,19.001,1
150.5,17.245,1
151.2,-62.805,1
151.9,-20.732,1
152.6,-78.157,1
154.0,-25.839,1
154.0,-4.691,1
154.0,-9.6001,1
154.7,17.552,1
154.7,-7.9076,1
154.7,-16.267,1
155.4,-70.705,1
156.8,28.339,1
156.8,-76.564,1
157.5,-20.814,1
158.9,-19.98,1
158.9,-59.407,1
159.6,-64.502,1
160.3,21.45,1
160.3,-3.3762,1
161.7,-21.508,1
161.7,-47.005,1
161.7,-41.312,1
162.4,-47.962,1
163.8,-70.658,1
165.9,-51.269,1
166.6,-1.7182,1
167.3,-6.0384,1
168.0,-26.012,1
168.0,-37.519,1
168.7,-5.9503,1
168.7,-57.741,1
169.4,19.151,1
170.1,7.8437,1
170.8,9.3623,1
171.5,-40.012,1
172.2,4.9526,1
173.6,-13.663,1
174.3,-42.499,1
176.4,-45.002,1
177.1,1.616,1
177.1,-20.671,1
177.8,17.782,1
177.8,-35.437,1
178.5,0.36029,1
178.5,15.564,1
178.5,-23.191,1
178.5,-41.733,1
179.2,-36.96,1
180.6,40.338,1
182.0,6.7437,1
182.0,-20.965,1
184.1,16.992,1
184.8,9.5865,1
186.2,-26.895,1
186.2,-71.052,1
186.9,-18.016,1
186.9,-20.577,1
187.6,-62.917,1
188.3,17.657,1
188.3,-38.803,1
189.0,-44.957,1
191.8,6.138,1
192.5,-47.544,1
193.2,3.0946,1
193.2,-47.446,1
196.0,-45.006,1
198.1,20.123,1
198.1,-48.405,1
200.2,38.543,1
200.2,11.694,1
200.9,-23.077,1
201.6,18.006,1
201.6,17.071,1
202.3,27.656,1
203.0,-51.61,1
203.7,14.526,1
204.4,-48.99,1
206.5,22.434,1
208.6,-31.069,1
209.3,-0.24934,1
210.0,7.4906,1
211.4,-77.143,1
212.8,-53.852,1
214.2,31.746,1
214.2,-47.153,1
214.9,-50.223,1
