x,y,labels
36.4,-22.916,1
37.1,16.502,1
38.5,-36.631,1
41.3,6.3068,1
42.7,19.388,1
43.4,55.635,1
43.4,-8.412,1
43.4,-11.003,1
47.6,49.773,1
49.0,43.226,1
49.7,-6.8352,1
50.4,15.673,1
50.4,-28.024,1
51.8,55.03,1
53.2,15.98,1
53.2,-39.048,1
53.9,-34.87,1
55.3,65.919,1
55.3,15.46,1
56.0,30.888,1
56.0,4.6696,1
57.4,16.612,1
58.8,-12.484,1
59.5,7.5605,1
59.5,-31.702,1
59.5,-22.879,1
59.5,-19.761,1
59.5,-33.727,1
60.9,59.75,1
60.9,26.992,1
61.6,14.143,1
62.3,-1.422,1
63.7,33.902,1
64.4,27.097,1
65.8,12.814,1
67.2,-39.458,1
67.9,15.841,1
68.6,-0.30852,1
68.6,-16.866,1
69.3,-9.339,1
69.3,-32.197,1
70.0,40.505,1
70.7,-40.156,1
72.8,-38.5,1
73.5,46.463,1
74.2,54.963,1
74.2,24.201,1
75.6,-15.668,1
77.0,12.654,1
79.8,40.045,1
80.5,15.925,1
81.2,-32.805,1
81.9,11.876,1
81.9,-27.835,1
83.3,74.607,1
84.7,20.082,1
85.4,24.688,1
86.1,14.894,1
88.2,65.034,1
88.9,-29.19,1
91.7,57.22,1
92.4,11.222,1
93.1,-5.1375,1
93.8,13.416,1
93.8,-32.636,1
94.5,-17.3,1
95.2,15.798,1
95.9,25.936,1
96.6,33.233,1
96.6,-0.65407,1
96.6,-10.703,1
97.3,42.012,1
100.1,74.538,1
100.8,15.737,1
100.8,-28.42,1
100.8,-26.026,1
101.5,4.6154,1
102.2,14.74,1
102.9,44.921,1
102.9,-2.3996,1
103.6,64.172,1
103.6,11.546,1
104.3,55.485,1
104.3,13.159,1
105.0,34.864,1
105.0,-42.927,1
105.7,55.315,1
106.4,40.452,1
107.1,-42.361,1
109.2,35.621,1
109.2,-16.372,1
109.2,-39.72,1
109.9,1.0908,1
110.6,-33.704,1
111.3,51.787,1
112.0,22.43,1
112.7,65.574,1
112.7,53.12,1
113.4,-1.4688,1
114.1,71.095,1
114.1,15.791,1
116.2,-5.3811,1
116.2,-8.7283,1
116.2,-23.17,1
116.9,-1.2515,1
116.9,1.5923,1
118.3,60.308,1
118.3,22.218,1
119.7,6.8192,1
120.4,22.068,1
122.5,73.501,1
122.5,67.5,1
124.6,7.7141,1
125.3,-11.269,1
126.0,-38.863,1
128.8,3.4807,1
129.5,63.96,1
130.2,14.917,1
130.9,37.812,1
133.0,-18.462,1
134.4,-11.907,1
135.8,43.683,1
136.5,73.508,1
136.5,13.609,1
137.9,34.43,1
138.6,55.195,1
140.0,-31.189,1
141.4,66.463,1
141.4,57.15,1
142.1,68.424,1
142.8,-25.995,1
142.8,-11.752,1
144.9,46.774,1
144.9,13.158,1
145.6,25.567,1
148.4,53.166,1
150.5,-28.904,1
151.2,-33.858,1
153.3,67.234,1
153.3,5.1478,1
153.3,-12.972,1
153.3,-39.308,1
154.0,3.965,1
156.8,65.15,1
156.8,-25.681,1
157.5,-39.659,1
158.2,16.764,1
159.6,11.029,1
161.7,57.038,1
162.4,37.326,1
163.1,72.507,1
163.1,53.146,1
164.5,35.909,1
165.2,15.697,1
165.2,-5.7203,1
165.2,-32.375,1
165.9,-17.712,1
165.9,-36.077,1
166.6,15.558,1
166.6,11.925,1
166.6,12.998,1
169.4,55.717,1
170.8,36.845,1
171.5,38.468,1
171.5,-10.342,1
172.9,7.2959,1
173.6,71.018,1
174.3,-0.67962,1
175.0,41.684,1
175.0,12.742,1
175.0,-18.272,1
177.8,-18.274,1
179.2,71.499,1
179.2,57.987,1
179.2,-43.237,1
179.9,4.2788,1
179.9,-28.253,1
181.3,-19.815,1
182.0,30.544,1
182.7,-14.66,1
182.7,-43.27,1
186.9,53.014,1
187.6,-10.969,1
188.3,46.836,1
188.3,31.58,1
191.1,70.162,1
191.1,72.591,1
193.2,-38.429,1
193.2,-37.167,1
194.6,-0.87255,1
194.6,-33.337,1
195.3,9.4151,1
197.4,25.829,1
197.4,-31.952,1
199.5,17.691,1
201.6,63.18,1
203.0,7.9516,1
203.7,5.6905,1
205.1,25.33,1
205.1,11.04,1
205.8,-42.544,1
206.5,2.0801,1
207.9,16.359,1
208.6,32.901,1
209.3,-30.797,1
209.3,-40.294,1
210.7,3.3391,1
212.1,-34.655,1
213.5,15.313,1
214.2,70.713,1
214.2,-13.89,1
214.9,42.06,1
214.9,39.67,1
216.3,57.178,1
217.0,-37.025,1
218.4,43.349,1
218.4,59.498,1
219.1,60.912,1
219.8,49.8,1
219.8,16.094,1
219.8,-10.023,1
220.5,15.675,1
221.2,21.176,1
221.2,-43.608,1
222.6,62.935,1
223.3,40.915,1
223.3,10.686,1
224.0,-25.707,1
224.7,50.789,1
224.7,-17.527,1
225.4,22.868,1
225.4,-39.187,1
226.1,54.965,1
226.8,-3.7478,1
227.5,-19.96,1
228.2,29.056,1
228.2,29.68,1
228.2,-27.949,1
228.9,-17.508,1
229.6,38.768,1
229.6,1.4624,1
231.0,34.165,1
231.0,5.973,1
232.4,16.052,1
233.1,24.031,1
233.8,66.625,1
234.5,64.342,1
234.5,-9.6823,1
235.2,66.57,1
235.9,60.57,1
236.6,-25.512,1
237.3,66.475,1
238.0,7.8265,1
238.0,-23.852,1
238.7,56.724,1
239.4,53.4,1
240.1,19.754,1
241.5,23.666,1
242.2,72.702,1
242.2,5.5544,1
242.2,-12.811,1
242.2,-22.392,1
242.9,66.28,1
243.6,35.848,1
243.6,-32.305,1
