x,y,labels
2.0999,-86.802,1
2.0999,-83.117,1
2.7996,-66.089,1
4.8998,-84.334,1
5.5997,-77.944,1
6.2998,-57.155,1
6.9997,2.3384,1
7.6998,-49.319,1
7.6998,-78.195,1
8.3997,4.3801,1
10.5,-46.631,1
10.5,-69.69,1
11.2,-5.5618,1
11.9,-44.203,1
11.9,-33.194,1
14.0,-44.024,1
15.4,-0.13964,1
15.4,-8.0434,1
15.4,-67.623,1
16.1,-80.046,1
18.2,-43.188,1
18.9,-7.1566,1
20.3,-73.112,1
22.4,-64.87,1
22.4,-90.369,1
25.2,-72.683,1
28.7,-61.674,1
28.7,-86.866,1
28.7,-93.468,1
29.4,-51.428,1
29.4,-70.557,1
30.1,-33.641,1
30.1,-93.328,1
30.1,-91.393,1
30.8,-44.567,1
30.8,-82.001,1
32.9,-15.227,1
33.6,-92.594,1
34.3,-2.9577,1
36.4,-46.518,1
38.5,-22.456,1
38.5,-44.741,1
40.6,-9.6124,1
40.6,-25.198,1
43.4,-93.492,1
44.1,4.1516,1
44.1,-58.242,1
44.8,-45.388,1
46.9,-48.625,1
47.6,-73.632,1
48.3,-47.825,1
51.1,-27.067,1
51.8,-26.235,1
51.8,-44.604,1
51.8,-87.265,1
53.2,-74.811,1
55.3,-46.352,1
56.0,-45.506,1
56.7,-28.152,1
56.7,-16.397,1
56.7,-19.45,1
56.7,-53.656,1
56.7,-82.575,1
57.4,-25.421,1
59.5,-47.552,1
59.5,-61.595,1
61.6,-22.382,1
62.3,-7.5536,1
62.3,-55.923,1
63.7,-57.359,1
65.1,-76.671,1
67.2,-13.343,1
69.3,-44.427,1
69.3,-50.214,1
70.7,-77.466,1
71.4,-83.403,1
72.1,-71.712,1
72.1,-76.282,1
72.1,-92.919,1
72.8,-0.58329,1
72.8,-11.387,1
73.5,2.1877,1
74.9,-24.533,1
74.9,-44.357,1
75.6,-47.75,1
75.6,-54.039,1
77.0,3.9896,1
77.0,-72.03,1
78.4,-35.237,1
80.5,-8.784,1
81.2,-88.25,1
84.7,-2.7907,1
84.7,-1.2269,1
84.7,-13.964,1
85.4,-34.182,1
86.8,-4.017,1
90.3,-85.947,1
91.0,-48.897,1
91.7,-12.84,1
92.4,-8.0442,1
95.2,-4.2522,1
95.2,-71.748,1
95.2,-81.738,1
95.9,-68.307,1
96.6,-47.853,1
96.6,-45.851,1
97.3,-32.444,1
98.0,-4.5336,1
99.4,-80.801,1
100.1,-3.9481,1
100.1,-30.48,1
100.1,-35.45,1
101.5,-28.101,1
101.5,-34.169,1
101.5,-76.343,1
101.5,-64.839,1
102.2,-35.381,1
102.2,-44.51,1
102.9,-44.521,1
106.4,-44.312,1
106.4,-46.797,1
106.4,-68.168,1
107.1,-35.664,1
107.8,-44.613,1
109.2,-52.106,1
110.6,-29.318,1
111.3,-12.731,1
111.3,-44.179,1
113.4,-4.038,1
114.8,-24.842,1
114.8,-72.352,1
116.2,-84.908,1
116.2,-86.373,1
116.9,-21.215,1
118.3,-33.122,1
119.0,-9.7162,1
119.7,-67.594,1
121.8,-9.8606,1
121.8,-76.053,1
122.5,-9.9764,1
122.5,-69.758,1
123.9,-48.689,1
123.9,-67.387,1
124.6,-13.78,1
125.3,-0.41869,1
125.3,-19.56,1
126.0,-43.3,1
126.7,-64.44,1
128.8,-32.432,1
129.5,-58.336,1
130.2,-22.917,1
130.2,-10.747,1
130.2,-44.658,1
130.2,-67.131,1
130.9,-18.388,1
131.6,1.7014,1
133.7,-60.252,1
134.4,-50.343,1
134.4,-59.604,1
135.1,-64.967,1
135.1,-68.104,1
135.8,-44.866,1
135.8,-66.492,1
140.0,-20.313,1
141.4,-6.409,1
141.4,-39.653,1
141.4,-45.158,1
143.5,-4.4703,1
144.2,1.9849,1
147.7,-19.436,1
148.4,-2.9395,1
148.4,-44.915,1
149.1,-56.173,1
151.9,-86.496,1
153.3,-36.458,1
154.0,-17.165,1
154.0,-36.733,1
154.7,-22.145,1
157.5,-75.777,1
160.3,-66.172,1
162.4,-61.986,1
163.1,-79.56,1
163.8,-21.697,1
164.5,5.8678,1
164.5,-32.264,1
164.5,-75.333,1
165.9,-18.528,1
165.9,-37.191,1
165.9,-64.049,1
166.6,-46.292,1
166.6,-34.161,1
166.6,-75.945,1
167.3,-44.533,1
168.0,-46.215,1
170.1,-20.313,1
170.8,-91.746,1
172.2,-44.759,1
172.9,-63.407,1
172.9,-66.353,1
173.6,-44.715,1
175.0,-72.923,1
176.4,-66.969,1
176.4,-84.364,1
177.1,-52.513,1
178.5,-21.176,1
178.5,-62.667,1
179.2,-84.104,1
179.9,-56.003,1
180.6,-21.307,1
181.3,-47.276,1
181.3,-67.338,1
181.3,-83.49,1
182.0,-41.351,1
182.7,-45.132,1
182.7,-67.802,1
183.4,-63.71,1
184.1,-19.593,1
184.1,-43.029,1
186.2,-23.602,1
186.2,-68.668,1
186.9,-75.063,1
189.0,-53.608,1
189.0,-56.638,1
191.1,-70.79,1
191.8,-35.886,1
193.9,-45.649,1
193.9,-90.624,1
194.6,-57.655,1
194.6,-88.286,1
195.3,-67.068,1
196.7,-46.216,1
196.7,-90.805,1
197.4,4.2241,1
200.9,-3.0388,1
204.4,-90.953,1
208.6,-69.933,1
210.0,-49.206,1
210.0,-50.106,1
210.0,-84.822,1
210.0,-82.604,1
210.7,-9.2689,1
212.1,1.8607,1
215.6,-39.103,1
216.3,-70.604,1
217.0,-24.961,1
217.0,-39.002,1
217.7,-15.65,1
217.7,-13.766,1
217.7,-32.934,1
218.4,-5.9883,1
219.8,-23.318,1
219.8,-46.09,1
220.5,-76.952,1
220.5,-83.239,1
222.6,-11.42,1
222.6,-51.392,1
222.6,-66.944,1
223.3,-73.979,1
224.0,-46.557,1
224.7,-53.391,1
226.1,-10.865,1
227.5,-27.985,1
227.5,-67.104,1
231.7,-4.5604,1
233.8,-0.46711,1
233.8,-42.498,1
233.8,-56.195,1
235.9,-48.657,1
236.6,-74.816,1
236.6,-87.081,1
237.3,-48.676,1
238.7,-1.0221,1
238.7,-70.67,1
240.1,-47.953,1
240.1,-57.332,1
242.9,-10.177,1
243.6,4.9402,1
245.7,1.7222,1
245.7,-21.672,1
246.4,-25.756,1
247.1,-62.121,1
247.8,-4.0098,1
247.8,-47.874,1
247.8,-85.06,1
247.8,-84.0,1
247.8,-87.449,1
247.8,-92.849,1
249.9,-63.089,1
249.9,-58.221,1
252.7,-55.565,1
252.7,-79.512,1
253.4,-2.6451,1
253.4,-75.656,1
257.6,-77.709,1
259.0,-0.85795,1
259.7,-31.075,1
259.7,-71.306,1
259.7,-86.484,1
259.7,-79.901,1
260.4,-46.688,1
260.4,-72.936,1
261.1,-72.723,1
261.1,-81.982,1
261.8,-38.399,1
262.5,-48.416,1
268.1,-80.124,1
270.9,-17.439,1
270.9,-54.894,1
272.3,-81.244,1
273.0,-42.086,1
273.0,-69.802,3
275.1,-0.13402,1
279.3,-37.325,1
280.7,-47.179,1
282.8,-93.183,1
283.5,-23.9,1
284.2,-34.073,1
285.6,-87.979,1
286.3,-52.788,1
287.0,-73.882,1
287.7,-21.716,1
288.4,-45.538,1
289.8,-11.236,1
289.8,-81.906,1
291.2,5.0565,1
291.9,6.0983,1
291.9,-90.614,1
292.6,-12.471,1
292.6,-60.9,1
294.0,-6.8373,1
294.7,4.0041,1
298.2,-24.522,1
299.6,-51.462,1
301.0,-69.045,1
302.4,-13.008,1
303.1,-45.503,1
303.8,4.1987,1
304.5,-16.977,1
304.5,-65.206,1
305.2,-33.734,1
305.9,-23.398,1
305.9,-54.418,1
306.6,-88.312,1
307.3,-61.514,1
308.0,-45.925,1
309.4,-27.168,1
310.8,0.24188,1
310.8,-56.565,1
311.5,-81.186,1
312.2,1.3839,1
312.2,-57.415,1
312.9,-6.135,1
312.9,1.2141,1
315.7,-29.712,1
317.8,-44.485,1
318.5,-37.336,1
319.2,-18.917,1
319.2,-27.7,1
319.2,-38.749,1
319.9,-86.195,1
319.9,-91.64,1
320.6,-54.861,1
321.3,-45.408,1
322.0,-86.545,1
322.7,-3.1976,1
324.8,-0.78564,1
324.8,-7.6592,1
324.8,-46.653,1
327.6,-26.478,1
327.6,-80.56,1
328.3,-30.137,1
329.0,-71.344,1
329.7,5.764,1
331.1,-92.685,1
333.2,-35.462,1
333.9,-26.306,1
333.9,-68.037,1
335.3,-77.661,1
335.3,-54.847,1
338.1,-45.879,1
340.2,-25.952,1
340.2,-86.073,1
340.9,-17.853,1
344.4,-46.532,1
345.1,-5.3721,1
347.9,-63.598,1
347.9,-68.288,1
348.6,-68.606,1
350.7,4.2879,1
351.4,-62.884,1
352.8,-44.227,1
353.5,-20.079,1
353.5,-44.243,1
354.2,-83.607,1
355.6,-68.907,1
357.0,-86.379,1
357.7,-11.968,1
358.4,-56.546,1
358.4,-74.195,1
359.8,-79.201,1
361.9,-44.353,1
364.7,-2.5459,1
364.7,-42.314,1
366.1,-73.196,1
366.8,-56.939,1
368.9,-68.667,3
369.6,-56.166,1
370.3,-1.3135,1
371.0,-49.64,1
371.7,-81.093,1
374.5,3.5779,1
374.5,-48.109,1
374.5,-75.764,1
375.2,-45.584,1
375.9,-5.7741,1
376.6,0.81656,1
378.0,-92.831,1
379.4,4.4334,1
379.4,-37.669,1
380.1,-16.525,1
381.5,-42.723,1
381.5,-38.539,1
381.5,-58.42,1
382.2,-70.531,1
382.2,-60.228,1
382.9,-73.847,1
383.6,-60.182,1
384.3,-53.661,1
385.0,-24.161,1
385.7,-48.29,1
387.1,-27.122,1
387.1,-5.4624,1
387.8,-38.161,1
388.5,-19.523,1
388.5,-66.762,1
389.2,-22.683,1
389.9,2.7289,1
389.9,-19.844,1
390.6,-19.085,1
391.3,-11.51,1
392.0,-60.904,1
392.7,-51.63,1
393.4,-48.909,1
393.4,-46.265,1
394.8,-5.0447,1
395.5,-67.769,1
396.2,-73.852,1
396.2,-81.718,1
396.2,-84.607,1
396.9,-56.563,1
399.7,-12.16,1
399.7,-91.796,1
401.1,-39.01,1
401.1,-43.462,1
403.2,-46.145,1
403.2,-44.589,1
403.9,-27.986,1
403.9,-22.582,1
404.6,1.3843,1
404.6,-63.858,1
405.3,-52.119,1
405.3,-80.179,1
406.0,-71.507,1
406.7,-40.425,1
407.4,-48.427,1
408.1,-7.8269,1
408.1,-56.953,1
408.8,-44.801,1
409.5,-43.044,1
409.5,-74.931,1
410.2,-15.431,1
410.9,-75.906,1
413.7,-18.159,1
413.7,-50.632,1
413.7,-43.216,1
414.4,-16.9,1
415.1,-43.241,1
415.8,-26.989,1
417.9,-22.885,1
417.9,-16.894,1
417.9,-46.456,1
417.9,-59.84,1
418.6,-44.518,1
420.0,-74.501,1
422.1,-52.253,1
422.1,-44.279,1
423.5,-75.682,1
424.2,-50.344,1
424.2,-57.49,1
425.6,-42.577,1
425.6,-67.903,1
427.0,-46.655,1
428.4,-9.33,1
428.4,-48.032,1
430.5,-84.925,1
431.2,-45.877,1
431.9,-45.054,1
431.9,-77.1,1
432.6,-45.061,1
432.6,-51.303,1
434.0,-22.409,1
434.7,4.8209,1
435.4,-44.655,1
435.4,-40.35,1
436.1,-31.971,1
436.8,-2.816,1
436.8,-45.656,1
436.8,-32.977,1
437.5,-15.062,1
437.5,-83.297,1
440.3,-55.918,1
443.8,-30.292,1
445.2,2.7181,1
445.2,-33.138,1
446.6,-49.974,1
447.3,-3.7182,1
448.0,-14.358,1
448.7,-47.376,1
450.1,-44.127,1
454.3,-28.631,1
454.3,-13.306,1
455.0,-69.516,1
457.1,-76.013,1
457.1,-55.11,1
457.8,-38.447,1
459.2,-52.541,1
460.6,-17.091,1
460.6,-42.981,1
460.6,-61.708,3
460.6,-91.915,1
462.0,-64.74,1
464.1,-61.567,3
464.8,-61.734,3
466.9,-48.374,1
466.9,-70.689,1
467.6,-45.346,1
467.6,-54.245,1
469.0,-17.66,1
469.0,-40.868,1
469.0,-62.756,3
471.8,-45.568,1
471.8,-60.42,3
473.2,-31.306,1
473.9,3.9699,1
473.9,-45.276,1
477.4,-47.306,1
479.5,-17.565,1
479.5,-52.018,1
479.5,-60.986,3
480.2,-32.654,1
481.6,-15.5,1
483.0,1.2964,1
484.4,-76.692,1
485.8,-66.06,1
486.5,-68.407,1
487.9,-61.676,3
488.6,0.30141,1
490.0,-29.341,1
490.7,-74.944,1
491.4,-23.456,1
491.4,-40.313,1
491.4,-71.3,1
492.1,-8.3829,1
492.1,-37.244,1
492.1,-46.052,1
494.9,-44.541,1
494.9,-72.643,1
494.9,-83.766,1
494.9,-85.937,1
496.3,-11.432,1
496.3,-31.893,1
496.3,-47.159,1
497.0,-47.602,1
497.0,-67.796,1
499.1,-11.14,1
499.8,-15.374,1
500.5,-73.733,1
501.9,-53.745,1
504.0,-20.884,1
504.7,-23.634,1
504.7,-49.001,1
505.4,-18.406,1
505.4,-55.826,1
506.8,-34.256,1
506.8,-70.189,1
507.5,-38.045,1
508.2,-23.748,1
508.2,-51.939,1
508.2,-37.847,1
508.2,-64.945,3
508.2,-66.706,1
508.2,-83.842,1
509.6,-80.423,1
510.3,-84.29,1
511.0,-20.036,1
511.0,-56.353,1
511.7,-40.741,1
512.4,-86.319,1
513.8,-43.151,1
513.8,-57.783,1
514.5,-28.487,1
515.2,-93.32,1
517.3,-37.485,1
517.3,-76.625,1
518.0,-0.51916,1
518.0,-44.774,1
518.0,-62.719,3
518.7,-88.079,1
519.4,-1.92,1
519.4,-85.019,1
520.8,-16.853,1
521.5,-18.055,1
523.6,-47.565,1
523.6,-67.295,1
523.6,-63.418,3
523.6,-54.154,1
523.6,-78.455,1
524.3,-53.082,1
524.3,-31.585,1
525.0,-11.006,1
525.7,-70.766,1
527.8,-11.29,1
529.2,-61.036,3
530.6,-44.098,1
530.6,-58.972,1
530.6,-78.718,1
532.7,4.8976,1
532.7,-20.618,1
534.1,-8.9448,1
534.1,-67.756,1
534.8,-70.286,1
535.5,-15.177,1
536.2,4.2018,1
536.9,-18.665,1
537.6,-20.655,1
538.3,-77.962,1
539.7,-69.976,1
541.8,2.8045,1
541.8,-16.261,1
542.5,2.5564,1
542.5,-35.227,1
542.5,-61.369,1
542.5,-62.369,1
543.2,-0.56787,1
543.2,-4.1867,1
543.2,-60.416,1
545.3,-62.371,3
546.7,-60.243,1
546.7,-80.472,1
547.4,-87.511,1
548.1,-14.79,1
548.8,-40.699,1
550.2,4.297,1
550.2,-64.683,1
